liga_id,nombre_db,oddsapi_slug
2,Champions League,international-clubs-uefa-champions-league
3,UEFA Europa League,international-clubs-uefa-europa-league
11,CONMEBOL Sudamericana,international-clubs-copa-sudamericana
13,Copa Libertadores,international-clubs-copa-libertadores
39,Premier League,england-premier-league
71,Brasileirao Serie A,brazil-serie-a
78,Bundesliga,germany-bundesliga
128,Liga Profesional,argentina-liga-profesional
130,Copa Argentina,argentina-copa-argentina
135,Serie A,italy-serie-a
140,La Liga,spain-laliga
143,Copa del Rey,spain-copa-del-rey
848,Copa del Rey,spain-copa-del-rey
